#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
866	351	10513	106848	115769	-	-	APP	APPBP2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	APP-BP2|HS.84084|PAT1	Two-hybrid	physical	Zheng P (1998)	PUBMED:9843960	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q92624	A0A024QZ47	NP_001269405|NP_006371	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252119	22883	351	116550	106848	RP11-558F24.5	-	CLSTN1	APP	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Araki Y (2004)	PUBMED:15037614	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O94985	B3KMD3	NP_001009566|NP_001289812|NP_055759	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253502	323	351	106820	106848	-	-	APBB2	APP	FE65L|FE65L1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Chang Y (2003)	PUBMED:14527950	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92870	G5E9Y1|B4E2F2|B4DJ88	NP_001159524|NP_001159525|NP_001159526|NP_004298|NP_001159522|NP_001159523|NP_775098|NP_001317587|NP_001317585	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255172	351	22883	106848	116550	-	RP11-558F24.5	APP	CLSTN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	Affinity Capture-Western	physical	Araki Y (2003)	PUBMED:12972431	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	O94985	B3KMD3	NP_001009566|NP_001289812|NP_055759	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255173	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Affinity Capture-Western	physical	Araki Y (2003)	PUBMED:12972431	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99767	Q59G28	NP_001123886|NP_005494	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255174	321	351	106818	106848	-	-	APBA2	APP	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Araki Y (2003)	PUBMED:12972431	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99767	Q59G28	NP_001123886|NP_005494	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274934	351	2192	106848	108486	-	CTA-941F9.7	APP	FBLN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	FBLN|FIBL1	Two-hybrid	physical	Ohsawa I (2001)	PUBMED:11238726	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P23142	Q8NBH6	NP_001987|NP_006478|NP_006477|NP_006476	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274935	2192	351	108486	106848	CTA-941F9.7	-	FBLN1	APP	FBLN|FIBL1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Ohsawa I (2001)	PUBMED:11238726	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P23142	Q8NBH6	NP_001987|NP_006478|NP_006477|NP_006476	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
274936	351	2192	106848	108486	-	CTA-941F9.7	APP	FBLN1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	FBLN|FIBL1	Affinity Capture-Western	physical	Ohsawa I (2001)	PUBMED:11238726	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P23142	Q8NBH6	NP_001987|NP_006478|NP_006477|NP_006476	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275061	351	320	106848	106817	-	-	APP	APBA1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	Affinity Capture-Western	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q02410	-	NP_001154	-	-	-	-	-	-	Homo sapiens	Homo sapiens
